フルーツサラダ	fruits salad
クリアテキスト	clear text
ステータスインジケータ	status indicator
プロデビュー	pro debut
レパートリーシステム	repertory system
ノースカロライナ	north carolina
ソルトリーフ	salt leaf
パーソナルセリング	personal selling
グッドデザイン	good design
スプロケットフィード	sprocket feed
デジャヴュ	deja vu
クリスマスカロル	christmas carol
ポリエチレングリコール	polyethylene glycol
ベースポイント	base point
オーナーパイロット	owner pilot
パーティードレス	party dress
セカンドハウス	second house
アウトポケット	out pocket
タイトルリージョン	title region
コモンウェルスデー	commonwealth day
ナショナルコンセンサス	national consensus
スローフード	slow food
パームレスト	palm rest
ネットワークバイトオーダー	network byte order
コンバインドレース	combined race
ネオンテトラ	neon tetra
フライイングバットレス	flying buttress
エンハンストアイディーイー	enhanced i d e
テークオフ	take off
フランチャイズチェーン	franchise chain
センタノード	center node
メークイーン	may queen
チームプレイ	team play
ピントビーン	pinto bean
グループケア	group care
エキストラベッド	extra bed
ローデンクロス	loden cloth
コンバージョンレンズ	conversion lens
カーボンフットプリント	carbon footprint
ルートウィンドウ	root window
ビーチパラソル	beach umbrella
アンチエージング	anti aging
シーグラス	sea glass
キーレセプタクル	key receptacle
ネールエナメル	nail enamel
スパイクタイヤ	spike tire
バニラエッセンス	vanilla essence
ブルーエンゼル	blue angel
セレクションマッチ	selection match
フォームファクタ	form factor
ルーティングパターン	routing pattern
リムクラッチ	rim clutch
カフェロワイヤル	cafe royal
ロイヤルティフリー	royalty free
オンシーズン	on season
スープカップ	soup cup
ピンクムード	pink mood
タックケース	tuck case
ジャンバースカート	jumper skirt
スタンプミル	stamp mill
ホールスタッフ	hall staff
デジタルカメラ	digital camera
アップワードコンパチブル	upward compatibility
インターネットプロバイダ	internet provider
スパゲティーミートソース	spaghetti meat sauce
デーパック	day pack
ブルートレーン	blue train
ファイバツーザカーブ	fiber to the curb
インサイドベルト	inside belt
フィルムケース	film case
ソーラーセイル	solar sail
インストールプログラム	install program
スワップエリア	swap area
スタンドレスリング	stand wrestling
ニューギニア	new guinea
シングルモルトウイスキー	single malt whisky
グローバルグループ	global group
ブルージーンズ	blue jeans
ソウルミュージック	soul music
ファイバーオプティクス	fiber optics
スクラッチマッチ	scratch match
バケットハット	bucket hat
タイドローン	tied loan
ホットコーナー	hot corner
マスコミュニケーション	mass communication
パタンマッチ	pattern match
マスコットキャラクター	mascot character
ピーナツアレルギー	peanut allergy
ワイドバンド	wide band
サウンドマン	sound man
ソフトキャンディー	soft candy
ホームコメディー	home comedy
ソーラーカー	solar car
ロングボール	long ball
テンポジュスト	tempo giusto
サンドイッチケーキ	sandwich cake
トルーラブ	true love
クラムチャウダー	clam chowder
キャラクタービジネス	character business
アイスプラント	ice plant
リロードボタン	reload button
ワーキングセット	working set
コミュニティーケア	community care
アクティブスポーツウエア	active sportswear
ベースメイク	base make
